country;year;sector;subsector;label;collective_dose_total;average_dose_monitored;average_dose_exposed;total_workers_number;D < RL;RL  < D < 1 mSv;1 mSv <= D < 5 mSv;5 mSv <= D < 10 mSv;10 mSv <= D < 15 mSv;15 mSv <= D < 20 mSv;20 mSv <= D
Hungary;2010;MEDICAL FIELD;;Hp10 (external dose photons);1.514;0.160;0.870;9645;7901;1286;446;12;0;0;0
Hungary;2010;INDUSTRY;;E (effective dose);0.526;0.510;1.950;1023;753;124;125;18;3;0;0
Hungary;2010;INDUSTRY;;Hp10 (external dose photons);0.526;0.510;1.950;1023;753;124;125;18;3;0;0
Hungary;2010;NUCLEAR FIELD;;E (effective dose);1.950;0.470;2.210;4113;3230;355;415;109;4;0;0
Hungary;2010;NUCLEAR FIELD;;Hp10 (external dose photons);1.950;0.470;2.210;4113;3230;355;415;109;4;0;0
Hungary;2010;NATURAL SOURCES;;E (effective dose);0.111;7.400;7.400;15;0;1;4;6;4;0;0
Hungary;2010;NATURAL SOURCES;;I (internal dose);0.111;7.400;7.400;15;0;1;4;6;4;0;0
Hungary;2010;OTHER FIELDS;;E (effective dose);0.268;0.210;1.350;1274;1075;132;54;12;0;1;0
France;2011;ALL MONITORED WORKERS;;E (effective dose);106.824;0.290;1.130;365670;270769;63610;;;;30;12
France;2011;MEDICAL FIELD;;E (effective dose);20.510;0.100;0.540;214432;176230;34643;;;;16;8
France;2011;;Diagnostic radiology;Hp10 (external dose photons);12.970;0.110;0.530;114635;90348;21915;;;;9;5
France;2011;;Radiotherapy;E (effective dose);2.520;0.250;1.000;10270;7759;2057;;;;1;1
France;2011;;Nuclear medicine;E (effective dose);0.990;0.310;0.830;3170;1980;872;;;;1;0
France;2011;;Dental radiology;Hp10 (external dose photons);1.880;0.040;0.380;44476;39473;4838;;;;1;1
France;2011;;Veterinary units;E (effective dose);0.470;0.030;0.310;18065;16536;1497;;;;0;0
France;2011;INDUSTRY;;E (effective dose);16.870;0.520;1.600;32190;21669;6821;;;;9;2
France;2011;;Electron-beam welding;Hp10 (external dose photons);0.010;0.060;0.530;167;148;16;;;0;0;0
France;2011;;Radioisotopes production and conditioning;E (effective dose);0.101;0.230;1.260;440;360;54;;;;0;0
France;2011;;Industrial logistics and maintenance = support activities;E (effective dose);0.045;0.190;0.270;242;73;123;;;0;0;0
France;2011;NUCLEAR FIELD;;E (effective dose);25.120;0.370;1.180;68344;47050;14773;;;;4;1
France;2011;;Uranium ore extraction/processing;E (effective dose);0.029;0.270;0.280;110;6;100;;;0;0;0
France;2011;;Enrichment and conversion;E (effective dose);0.363;0.170;0.840;2186;1756;305;;;0;0;0
France;2011;;Fuel fabrication;E (effective dose);1.685;0.940;2.390;1783;1078;318;;;;0;0
France;2011;;Nucl. power reactor (permanent staff only);E (effective dose);6.519;0.300;0.890;22044;14707;5262;;;;0;0
France;2011;;Reprocessing;E (effective dose);0.106;0.030;0.380;3210;2932;262;;;0;0;0
France;2011;;Dismantling of nuclear facilities;E (effective dose);0.137;0.070;0.590;1995;1763;187;;;0;0;0
France;2011;;Nuclear logistics and maintenance = support activities;E (effective dose);6.968;0.800;1.670;8713;4532;2412;;;;2;1
France;2011;;Nuclear fuel cycle;E (effective dose);0.100;0.100;0.330;1002;694;295;;;0;0;0
France;2011;RESEARCH AND EDUCATION;;E (effective dose);0.670;0.050;0.470;14601;13170;1371;;;;0;1
France;2011;;Medical, veterinary and pharm. Resarch;E (effective dose);0.004;0.060;0.280;73;58;15;0;0;0;0;0
France;2011;;Nuclear research facilities;E (effective dose);0.214;0.040;0.520;4885;4475;367;;;0;0;0
France;2011;;Other research sectors and education;E (effective dose);0.450;0.050;0.450;9643;8637;989;;;;0;1
France;2011;NATURAL SOURCES;;E (effective dose);42.584;1.960;1.970;21682;49;4377;17256;0;0;0;0
France;2011;;Aviation;E (effective dose);42.584;1.960;1.970;21682;49;4377;17256;0;0;0;0
Germany;2011;ALL MONITORED WORKERS;;E (effective dose);122.727;0.320;1.160;389239;283275;63128;41770;933;117;10;6
Germany;2011;ALL MONITORED WORKERS;;I (internal dose);0.077;0.040;1.170;1726;1660;52;12;1;0;0;1
Germany;2011;MEDICAL FIELD;;E (effective dose);18.150;0.070;0.370;272841;224220;44561;3956;90;12;2;0
Germany;2011;MEDICAL FIELD;;I (internal dose);0.007;0.030;0.940;223;216;5;2;;;;
Germany;2011;;Diagnostic radiology;Hp10 (external dose photons);8.531;0.050;0.310;181955;154566;25990;1361;32;4;2;0
Germany;2011;;Radiotherapy;E (effective dose);0.345;0.040;0.330;8041;6997;988;53;2;1;0;0
Germany;2011;;Nuclear medicine;E (effective dose);4.514;0.390;0.790;11434;5738;4029;1623;41;3;0;0
Germany;2011;;Nuclear medicine;I (internal dose);0.006;0.030;1.050;195;189;4;2;;;;
Germany;2011;;Dental radiology;Hp10 (external dose photons);0.064;0.040;0.340;1641;1451;173;17;0;0;0;0
Germany;2011;;Veterinary units;E (effective dose);1.269;0.070;0.300;19317;15109;4015;188;5;0;0;0
Germany;2011;;Other medical activities;E (effective dose);0.045;0.030;0.260;1341;1169;167;5;0;0;0;0
Germany;2011;;Other medical activities;I (internal dose);0.000;0.020;0.110;5;4;1;;;;;
Germany;2011;INDUSTRY;;E (effective dose);15.539;0.400;1.260;38445;26112;8203;3439;587;93;7;4
Germany;2011;INDUSTRY;;I (internal dose);0.042;0.070;3.500;622;610;7;3;1;;;1
Germany;2011;;Industrial radiography;Hp10 (external dose photons);2.671;0.930;1.680;2881;1286;831;650;99;15;0;0
Germany;2011;NUCLEAR FIELD;;E (effective dose);4.278;0.270;1.010;15987;11751;3018;1064;144;9;0;1
Germany;2011;NUCLEAR FIELD;;I (internal dose);0.023;0.070;0.540;303;261;37;5;;;;
Germany;2011;;Nucl. power reactor (permanent staff only);E (effective dose);3.722;0.300;1.000;12265;8557;2636;939;126;6;0;1
Germany;2011;;Nucl. power reactor (permanent staff only);I (internal dose);0.022;0.120;0.530;190;148;37;5;;;;
